Timestamp,compactImu.a_xyz,compactImu.l_xyz,motorCompact.pwms,stabilizer.pitch,stabilizer.roll,stabilizer.thrust,stabilizer.yaw
38113,536346111,641203712,0,0.912271023,-0.098208033,0,0.355767846
38116,536346111,641203712,0,0.912093103,-0.098608881,0,0.355910569
38120,536346111,641203712,0,0.911735773,-0.099059619,0,0.356070459
38123,536346111,641203712,0,0.911735773,-0.099059619,0,0.356070459
38127,536346111,641203713,0,0.911761463,-0.099197172,0,0.35630542
38132,536346111,641203713,0,0.911903858,-0.098931663,0,0.356227756
38135,536346111,641203713,0,0.911903858,-0.098931663,0,0.356227756
38138,536346111,641203713,0,0.911885858,-0.098359443,0,0.355977625
38142,536346111,641203713,0,0.912069917,-0.097579621,0,0.356157064
38145,536346111,642252288,0,0.912095308,-0.096830182,0,0.356219739
38149,536346111,642252288,0,0.911894798,-0.096446417,0,0.356324166
38154,536346111,642252288,0,0.911770284,-0.096351445,0,0.356290013
38157,536346111,642252288,0,0.911757469,-0.096681021,0,0.356217951
38163,536346111,642252288,0,0.911671519,-0.096960329,0,0.356527895
38165,536346111,642252288,0,0.911488235,-0.097035155,0,0.356885195
38167,536346111,642252289,0,0.911488235,-0.097035155,0,0.356885195
38171,536346111,641203713,0,0.911647737,-0.096780673,0,0.356928527
38176,536346111,641203713,0,0.911335289,-0.096880741,0,0.357484758
38179,536346111,641203713,0,0.911335289,-0.096880741,0,0.357484758
38183,536346111,641203712,0,0.910994828,-0.09686856,0,0.358060807
38188,536346111,641203712,0,0.910824537,-0.097156174,0,0.358547568
38191,536346110,642252288,0,0.910824537,-0.097156174,0,0.358547568
38196,536346111,642252288,0,0.911097527,-0.098131955,0,0.357785612
38199,536346111,641203712,0,0.911097527,-0.098131955,0,0.357785612
38203,536346111,641203713,0,0.911197364,-0.097850017,0,0.357829392
38208,536346111,642252289,0,0.911414981,-0.097444147,0,0.358152568
38211,536346111,642252289,0,0.911414981,-0.097444147,0,0.358152568
38216,536346111,642252289,0,0.910402477,-0.097209394,0,0.358167648
38219,536346111,642252289,0,0.910402477,-0.097209394,0,0.358167648
38223,535296511,642252288,0,0.910221994,-0.097400419,0,0.357782423
38228,536346111,642252289,0,0.910855889,-0.097912967,0,0.35714063
38230,536346111,642252289,0,0.910855889,-0.097912967,0,0.35714063
38233,536346111,642252289,0,0.910641253,-0.098025277,0,0.357177764
38238,536346111,641203713,0,0.910574555,-0.097923934,0,0.357472271
38241,536346111,641203713,0,0.910738766,-0.097917877,0,0.35821411
38245,536346111,641203712,0,0.911057591,-0.097783871,0,0.358639479
38250,536346111,641203712,0,0.911146045,-0.097756661,0,0.358909816
38253,536346111,641203712,0,0.91082567,-0.097700447,0,0.359018803
38257,536346111,641203712,0,0.910864532,-0.097287051,0,0.359154195
38262,536345087,642252289,0,0.911276162,-0.096927039,0,0.359497786
38265,536346111,642252289,0,0.911708355,-0.096550725,0,0.360007852
38269,536346111,642252288,0,0.911568344,-0.096395433,0,0.360385507
38273,536346111,642252288,0,0.911333501,-0.096247263,0,0.360151619
38275,536346111,642252288,0,0.911333501,-0.096247263,0,0.360151619
38278,536346111,642252288,0,0.911058962,-0.096022658,0,0.359654278
38282,536346110,642252288,0,0.911185384,-0.096072711,0,0.359251618
38285,536346110,642252288,0,0.911187887,-0.096448347,0,0.358993173
38289,536346111,642252288,0,0.91066128,-0.096361302,0,0.359265506
38292,536346111,642252288,0,0.910793006,-0.095997483,0,0.359722137
38294,536346111,642252288,0,0.910793006,-0.095997483,0,0.359722137
38297,536346111,642252288,0,0.910981238,-0.095671102,0,0.3602404
38304,536346111,642252289,0,0.911191821,-0.096249677,0,0.361427188
38307,536346111,642252289,0,0.911191821,-0.096249677,0,0.361427188
38311,536346111,642252289,0,0.91113174,-0.096449755,0,0.361237913
38316,536346111,642252289,0,0.910978794,-0.096668266,0,0.360678643
38319,536346111,642252289,0,0.910978794,-0.096668266,0,0.360678643
38323,536346111,642252289,0,0.911105692,-0.096831061,0,0.360960454
38328,536346111,642252289,0,0.91116035,-0.097309284,0,0.362125605
38331,536346111,642252288,0,0.91116035,-0.097309284,0,0.362125605
38335,536346111,642252288,0,0.910955489,-0.097926579,0,0.362347215
38340,536346111,642252288,0,0.909787536,-0.098318562,0,0.36292994
38343,536346111,642252288,0,0.909787536,-0.098318562,0,0.36292994
38348,536346111,642252288,0,0.909526408,-0.097977705,0,0.363358438
38351,536346111,642252288,0,0.909526408,-0.097977705,0,0.363358438
38359,536346111,642252288,0,0.908867776,-0.098076008,0,0.36392194
38364,536345087,641203712,0,0.909239233,-0.098144144,0,0.364959776
38368,536346111,641203712,0,0.909098089,-0.098287746,0,0.365736902
38372,536346111,641203712,0,0.909139216,-0.098291621,0,0.36631453
