Timestamp,compactImu.a_xyz,compactImu.l_xyz,motorCompact.pwms,stabilizer.pitch,stabilizer.roll,stabilizer.thrust,stabilizer.yaw
224661,534348186,667415036,3016482766,-3.751922607,-5.914316654,8192,-127.5563278
224671,533335440,660076028,2881807320,-4.393886566,-6.501553059,8192,-127.6407242
224681,534415748,660078085,3418082776,-5.622820854,-7.481536388,8192,-127.8112793
224691,537585009,663227900,3418275804,-6.587545395,-8.221473694,36352,-127.9436111
224701,536555872,655890944,4004817104,-8.206168175,-9.48491478,61440,-128.1967773
224711,538649945,666370560,3686902738,-9.304859161,-10.39716244,61440,-128.3815918
224721,541783383,661123584,4005799873,-10.88751221,-11.80741405,61440,-128.665329
224731,542811486,667424255,4075460009,-11.84165859,-12.72989464,61440,-128.8406525
224741,543834475,666371587,4141653675,-13.07889652,-14.01762009,61440,-129.083725
224751,544856449,655883780,3302409148,-13.75218582,-14.76665115,61440,-129.2161713
224761,545881498,659031546,3486695865,-14.57723808,-15.6844635,61440,-129.3728333
224771,545865138,660082176,3134377664,-15.01901531,-16.1386795,61440,-129.442276
224781,546901445,660084225,3117404609,-15.55711842,-16.63279915,61440,-129.5111389
224791,546896341,654836228,2882197443,-15.8729763,-16.86508942,21248,-129.5505066
224801,547946974,656939514,3016020678,-16.34369469,-17.10083008,21248,-129.5956726
224811,546903521,663224833,2982466249,-16.67851448,-17.22811508,21248,-129.6365967
224821,549006816,654835201,3183594184,-17.21673775,-17.42025566,21248,-129.7084351
224831,549010908,657983998,3167012809,-17.60595703,-17.56878662,21248,-129.7611237
224841,547967451,655883779,3502620358,-18.21554565,-17.81141853,61440,-129.8547058
224851,549017048,657982970,3435775696,-18.64525223,-17.99450493,8192,-129.9277496
224861,551108056,659029511,3603742410,-19.25139046,-18.26957321,8192,-130.0104828
224871,552151515,654838266,3402352336,-19.6291523,-18.43702126,8192,-130.0447388
224881,550048222,661129728,3603546061,-20.15858269,-18.65946007,8192,-130.0995331
224891,551085544,656931332,3637098705,-20.45127106,-18.75886917,8192,-130.1149445
224901,550022638,655887866,3838487760,-20.80856514,-18.83797646,8192,-130.1068726
224911,553143805,662176255,4056719311,-20.94744301,-18.80484009,8192,-130.0604248
224921,552068629,659031559,4207578075,-20.9382267,-18.57219887,8192,-129.9082031
224931,550982194,660082177,4291530193,-20.7554493,-18.24269676,8192,-129.7478638
224941,550938200,659028479,3486952156,-20.17546844,-17.44305038,8192,-129.4142914
224951,549845629,655882747,3285174736,-19.54560471,-16.66922188,8192,-129.1204529
224961,547716762,656936444,2363220960,-18.31899071,-15.23468781,8192,-128.6296844
224971,546648749,657981950,2580476115,-17.34362793,-14.13598633,8192,-128.2975159
224981,543497905,657978882,1927020255,-15.79279613,-12.44817448,8192,-127.8370667
224991,541408941,652735993,2176970697,-14.76564789,-11.35322952,5632,-127.5810318
225001,538280603,656933376,1622594484,-13.32181168,-9.837693214,34816,-127.2709503
225011,538302088,655881717,2125316783,-12.47343636,-8.954501152,34816,-127.1124649
225021,536231536,645389823,0,-11.39504814,-7.841510296,0,-126.9429626
225031,537301593,633860603,0,-10.80046177,-7.238473892,0,-126.8603058
225041,538366538,624425465,0,-10.06720448,-6.484606743,0,-126.7533646
225051,540474942,617081335,0,-9.669608116,-6.066892624,0,-126.6880798
225061,541532723,609742327,0,-9.15494442,-5.551170349,0,-126.5911026
225071,542589484,602402300,0,-8.864347458,-5.264268875,0,-126.5304108
225081,543644197,596110839,0,-8.481302261,-4.882522106,0,-126.4384079
225091,544696864,581433851,0,-8.2620821,-4.66901207,0,-126.3771362
225101,544700956,580384251,0,-7.9579916,-4.380015373,0,-126.2823257
225111,544704026,578289144,0,-7.781935215,-4.205360889,0,-126.2195435
225121,545754648,580384252,0,-7.546548367,-3.952483177,0,-126.1275711
225131,545756693,574092795,0,-7.397352695,-3.803632021,0,-126.0640259
225141,545758739,568849915,0,-7.190881729,-3.610418081,0,-125.966362
225151,546807315,566752763,0,-7.064386368,-3.483914375,0,-125.9015427
225161,546808338,563607038,0,-6.859766483,-3.309739351,0,-125.8049469
225171,546808337,561509885,0,-6.723017693,-3.198089361,0,-125.7413101
225181,547855889,561509886,0,-6.515618324,-3.03354454,0,-125.6383514
225191,547855889,559412732,0,-6.381030083,-2.925966978,0,-125.5666046
225201,546806290,560462330,0,-6.199203491,-2.761375904,0,-125.4611206
225211,547853841,558364155,0,-6.075844288,-2.650554895,0,-125.3921051
225221,548899346,558364156,0,-5.873700142,-2.487040997,0,-125.2846069
225231,547850770,557315580,0,-5.721041679,-2.384535551,0,-125.209938
225241,548895252,556268027,0,-5.491957188,-2.211560488,0,-125.1026001
225251,548894229,556268028,2493225121,-5.326822281,-2.085946321,28928,-125.0294724
225261,548892181,556267004,2494341543,-5.060169697,-1.902876973,19200,-124.9207535
225271,547840536,563608059,2510726822,-4.867912292,-1.764801502,19200,-124.8570862
225281,544691739,574092795,2494410413,-4.540541649,-1.535809636,34816,-124.7578583
225291,544688668,582481403,2847851196,-4.300114155,-1.37035358,55552,-124.7004013
225301,542589470,595064314,2764098242,-3.918689489,-1.109207153,30720,-124.6312943
225311,540489248,597158392,2747453371,-3.654050827,-0.933172166,30720,-124.5964279
225321,540488226,604500477,2646922172,-3.231149197,-0.653429925,30720,-124.5548859
225331,538390053,617085431,2680149181,-2.945406675,-0.445777893,30720,-124.5331116
225341,538393123,626523643,2613041342,-2.533194304,-0.134645104,30720,-124.5125961
225351,536299039,632813051,2865224388,-2.270301819,0.050359573,21248,-124.5103912
225361,536305179,640150009,3033456331,-1.91532433,0.299657136,8192,-124.5032959
225371,535263767,644346359,3050102220,-1.721967459,0.437669963,8192,-124.5054398
225381,534220307,648538613,3083722186,-1.482572794,0.615093887,8192,-124.5141525
225391,535274001,656927223,3049971150,-1.353999972,0.705214798,8192,-124.5176773
225401,536323596,665317876,3067009995,-1.178668022,0.821520567,8192,-124.5225143
225411,535278091,661122551,3100629961,-1.077917933,0.887363911,8192,-124.5293427
225421,536325641,662167035,3067141065,-0.919382572,0.967909515,8192,-124.5276718
225431,537374218,673710585,2983190986,-0.818829477,1.013373256,8192,-124.528801
225441,536327687,673702386,3117406666,-0.673006952,1.09130609,8192,-124.5261765
225451,537374216,669509117,3000164295,-0.577406347,1.128293157,8192,-124.5251389
225461,536327690,678948336,2966282956,-0.437375367,1.198892117,8192,-124.5215912
225471,537374215,669513205,3050691780,-0.350088239,1.250086069,8192,-124.5181198
225481,537378310,676850169,3067206601,-0.220364571,1.304535866,8192,-124.5129471
225491,539473419,679998963,2949767626,-0.140338734,1.349376559,8192,-124.5103531
225501,537380359,673702394,2882397645,-0.030613767,1.405014157,8192,-124.4977493
225511,536334852,672650737,3067075531,0.027294077,1.431962729,8192,-124.4905548
225521,539480581,673705470,3000163786,0.104937114,1.467755437,8192,-124.4757156
225531,535293441,675804659,3117275596,0.135121852,1.477672338,8192,-124.467926
225541,535295490,668464638,3117275595,0.142088294,1.499785662,8192,-124.4743652
