Timestamp,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm,stabilizer.pitch,stabilizer.roll
84296,0,0,0,0,-0.11959854513406754,0.36812862753868103
84306,0,0,0,0,-0.12539711594581604,0.37086451053619385
84316,0,0,0,0,-0.12902264297008514,0.37229645252227783
84326,0,0,0,0,-0.12760142982006073,0.37837812304496765
84336,0,0,0,0,-0.12383858114480972,0.38350710272789
84346,0,0,0,0,-0.11531289666891098,0.3866254985332489
84356,0,0,0,0,-0.10984861850738525,0.38844844698905945
84366,0,0,0,0,-0.10521005839109421,0.3907588720321655
84376,0,0,0,0,-0.10567893832921982,0.39062559604644775
84386,0,0,0,0,-0.10838133096694946,0.38579779863357544
84396,0,0,0,0,-0.11177196353673935,0.3835880160331726
84406,0,0,0,0,-0.11816906929016113,0.38265442848205566
84416,0,0,0,0,-0.12138461321592331,0.38133108615875244
84426,0,0,0,0,-0.12231583893299103,0.3789482116699219
84436,0,0,0,0,-0.12064136564731598,0.3802012503147125
84446,0,0,0,0,-0.11643154919147491,0.3855414092540741
84456,0,0,0,0,-0.11239971220493317,0.3876883089542389
84466,0,0,0,0,-0.10777681320905685,0.3909221589565277
84476,0,0,0,0,-0.106578029692173,0.39380478858947754
84486,0,0,0,0,-0.10799654573202133,0.3974723815917969
84496,0,0,0,0,-0.1083093136548996,0.3988874852657318
84506,0,0,0,0,-0.11009980738162994,0.39993366599082947
84516,0,0,0,0,-0.11197898536920547,0.40115833282470703
84526,0,0,0,0,-0.1132824718952179,0.40194010734558105
84536,0,0,0,0,-0.11259451508522034,0.4026937186717987
84546,0,0,0,0,-0.10986731946468353,0.40189725160598755
84556,0,0,0,0,-0.10806525498628616,0.4017048180103302
84566,0,0,0,0,-0.10579525679349899,0.4015008509159088
84576,0,0,0,0,-0.10447535663843155,0.40055274963378906
84586,0,0,0,0,-0.10505608469247818,0.4001719057559967
84596,0,0,0,0,-0.1063980832695961,0.40207087993621826
84606,0,0,0,0,-0.10855261236429214,0.4043051302433014
84616,0,0,0,0,-0.10972858965396881,0.40513965487480164
84626,0,0,0,0,-0.11099206656217575,0.4086802303791046
84636,0,0,0,0,-0.11069595068693161,0.410944402217865
84646,0,0,0,0,-0.10824193060398102,0.41448163986206055
84656,0,0,0,0,-0.10669039189815521,0.4164535105228424
84666,0,0,0,0,-0.10457800328731537,0.41814497113227844
84676,0,0,0,0,-0.10332326591014862,0.41885465383529663
84686,0,0,0,0,-0.10250589996576309,0.41804346442222595
84696,0,0,0,0,-0.1027340292930603,0.4171052873134613
84706,0,0,0,0,-0.10418848693370819,0.415682315826416
84716,0,0,0,0,-0.10431702435016632,0.41507065296173096
84726,0,0,0,0,-0.10501927882432938,0.4145404100418091
84736,0,0,0,0,-0.10482082515954971,0.41485416889190674
84746,0,0,0,0,-0.10392353683710098,0.4169173240661621
84756,0,0,0,0,-0.10239716619253159,0.41878125071525574
84766,0,0,0,0,-0.09991134703159332,0.42194172739982605
84776,0,0,0,0,-0.09880522638559341,0.42381200194358826
84786,0,0,0,0,-0.09803088754415512,0.4269375801086426
84796,0,0,0,0,-0.09861648082733154,0.4289512634277344
84806,0,0,0,0,-0.09957396984100342,0.4300684630870819
84816,0,0,0,0,-0.09986474364995956,0.43094196915626526
84826,0,0,0,0,-0.10052396357059479,0.4315395653247833
84836,0,0,0,0,-0.10062799602746964,0.43141958117485046
84846,0,0,0,0,-0.09977712482213974,0.43148547410964966
84856,0,0,0,0,-0.09887456148862839,0.43108630180358887
84866,0,0,0,0,-0.0980835035443306,0.4310958683490753
84876,0,0,0,0,-0.0968862846493721,0.4309966564178467
84886,0,0,0,0,-0.09597405791282654,0.4319518804550171
84896,0,0,0,0,-0.09596866369247437,0.4327499568462372
84906,0,0,0,0,-0.09648320823907852,0.4337047338485718
84916,0,0,0,0,-0.09725458920001984,0.43306073546409607
84926,0,0,0,0,-0.09968191385269165,0.4335184395313263
84936,0,0,0,0,-0.10148092359304428,0.4338447153568268
84946,0,0,0,0,-0.10395989567041397,0.4335169792175293
84956,0,0,0,0,-0.10616160929203033,0.4333278238773346
84966,0,0,0,0,-0.10932374745607376,0.43313726782798767
84976,0,0,0,0,-0.1110805869102478,0.43311282992362976
84986,0,0,0,0,-0.11363369226455688,0.4329040050506592
84996,0,0,0,0,-0.11560776829719543,0.43124598264694214
85006,0,0,0,0,-0.11879344284534454,0.42851322889328003
85016,0,0,0,0,-0.12054996937513351,0.4265707731246948
85026,0,0,0,0,-0.12408715486526489,0.4237040579319
85036,0,0,0,0,-0.12430379539728165,0.422355055809021
85046,0,0,0,0,-0.11901479214429855,0.423089861869812
85056,0,0,0,0,-0.11251791566610336,0.42510518431663513
85066,0,0,0,0,-0.10385448485612869,0.43147996068000793
85076,0,0,0,0,-0.10081247985363007,0.4357888698577881
85086,0,0,0,0,-0.10065695643424988,0.442458838224411
85096,0,0,0,0,-0.1032535508275032,0.4473193287849426
85106,0,0,0,0,-0.10905751585960388,0.45182740688323975
85116,0,0,0,0,-0.11288267374038696,0.4539848268032074
85126,0,0,0,0,-0.11610516905784607,0.4547983705997467
85136,0,0,0,0,-0.11625110357999802,0.4551582634449005
85146,0,0,0,0,-0.11272646486759186,0.45430925488471985
85156,0,0,0,0,-0.10841958224773407,0.4527394473552704
85166,0,0,0,0,-0.10142842680215836,0.4495464563369751
85176,0,0,0,0,-0.09792135655879974,0.4478643238544464
85186,0,0,0,0,-0.09477266669273376,0.4472486674785614
85196,0,0,0,0,-0.09507052600383759,0.44866684079170227
85206,0,0,0,0,-0.09936390072107315,0.4518739879131317
85216,0,0,0,0,-0.10320056974887848,0.4545252025127411
85226,0,0,0,0,-0.10624554008245468,0.45821136236190796
85236,0,0,0,0,-0.10758772492408752,0.4616725444793701
85246,0,0,0,0,-0.10622893273830414,0.464780330657959
85256,0,0,0,0,-0.10460767149925232,0.4661964774131775
85266,0,0,0,0,-0.1006784588098526,0.4685096740722656
85276,0,0,0,0,-0.09791094809770584,0.4695339798927307
85286,0,0,0,0,-0.09455268085002899,0.46775221824645996
85296,0,0,0,0,-0.09390363097190857,0.4659249186515808
85306,0,0,0,0,-0.09429002553224564,0.46379953622817993
85316,0,0,0,0,-0.09523142874240875,0.46262434124946594
85326,0,0,0,0,-0.09685426950454712,0.4606589376926422
85336,0,0,0,0,-0.0972723513841629,0.46078360080718994
85346,0,0,0,0,-0.09577351063489914,0.4616297781467438
85356,0,0,0,0,-0.09375932067632675,0.46371811628341675
