,omegax_0dx,omegay_0dx,omegaz_0dx,pitch_0dx,roll_0dx,yaw_0dx,linax_0dx,linay_0dx,linyz_0dx,omegax_1tx,omegay_1tx,omegaz_1tx,pitch_1tx,roll_1tx,yaw_1tx,linax_1tx,linay_1tx,linaz_1tx,omegax_2tx,omegay_2tx,omegaz_2tx,pitch_2tx,roll_2tx,yaw_2tx,linax_2tx,linay_2tx,linaz_2tx,omegax_3tx,omegay_3tx,omegaz_3tx,pitch_3tx,roll_3tx,yaw_3tx,linax_3tx,linay_3tx,linaz_3tx,m1_pwm_1tu,m2_pwm_1tu,m3_pwm_1tu,m4_pwm_1tu,m1_pwm_2tu,m2_pwm_2tu,m3_pwm_2tu,m4_pwm_2tu,m1_pwm_3tu,m2_pwm_3tu,m3_pwm_3tu,m4_pwm_3tu,omegax_1fx,omegay_1fx,omegaz_1fx,pitch_1fx,roll_1fx,yaw_1fx,linax_1fx,linay_1fx,linaz_1fx
0,0.0,0.0,0.0,-1.6399999999999997,-0.2699999999999996,0.7399999999999999,-0.04000000000000001,-0.020000000000000018,0.030000000000000027,0.0,0.0,0.0,-2.38,12.67,0.0,0.13,0.5,-1.1,0.0,0.0,0.0,-1.77,13.14,-0.28,0.05,0.25,-1.14,0.0,0.0,0.0,-1.78,13.88,-1.28,0.05,0.38,-1.16,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,0.0,0.0,-4.02,12.4,0.7399999999999999,0.09,0.48,-1.07
1,0.0,0.0,0.0,-2.62,0.009999999999999787,0.3800000000000001,-0.01999999999999999,-0.14999999999999997,0.1100000000000001,0.0,0.0,0.0,-4.02,12.4,0.7399999999999999,0.09,0.48,-1.07,0.0,0.0,0.0,-2.38,12.67,0.67,0.13,0.5,-1.1,0.0,0.0,0.0,-1.77,13.14,-0.28,0.05,0.25,-1.14,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,0.0,0.0,-6.64,12.41,1.12,0.07,0.33,-0.96
2,0.0,0.0,0.0,-3.0100000000000007,0.27999999999999936,0.010000000000000009,0.04999999999999999,0.03999999999999998,0.06999999999999995,0.0,0.0,0.0,-6.64,12.41,1.12,0.07,0.33,-0.96,0.0,0.0,0.0,-4.02,12.4,1.41,0.09,0.48,-1.07,0.0,0.0,0.0,-2.38,12.67,0.67,0.13,0.5,-1.1,1500.0,0.0,3000.0,1500.0,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,0.0,0.0,-9.65,12.69,1.13,0.12,0.37,-0.89
3,0.0,0.0,0.0,-2.9499999999999993,0.2400000000000002,-0.3800000000000001,0.020000000000000018,-0.13999999999999999,0.07000000000000006,0.0,0.0,0.0,-9.65,12.69,1.13,0.12,0.37,-0.89,0.0,0.0,0.0,-6.64,12.41,1.79,0.07,0.33,-0.96,0.0,0.0,0.0,-4.02,12.4,1.41,0.09,0.48,-1.07,1500.0,0.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,0.0,1500.0,1500.0,3000.0,0.0,0.0,0.0,-12.6,12.93,0.7499999999999999,0.14,0.23,-0.82
4,0.0,0.0,0.0,-2.49,-0.019999999999999574,-0.71,-0.09000000000000001,0.0,-0.28000000000000014,0.0,0.0,0.0,-12.6,12.93,0.7499999999999999,0.14,0.23,-0.82,0.0,0.0,0.0,-9.65,12.69,1.8,0.12,0.37,-0.89,0.0,0.0,0.0,-6.64,12.41,1.79,0.07,0.33,-0.96,3000.0,1500.0,1500.0,0.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,0.0,0.0,0.0,-15.09,12.91,0.039999999999999925,0.05,0.23,-1.1
5,0.0,0.0,0.0,-1.4499999999999993,-0.6500000000000004,-0.83,-0.11,-0.13,0.13000000000000012,0.0,0.0,0.0,-15.09,12.91,0.039999999999999925,0.05,0.23,-1.1,0.0,0.0,0.0,-12.6,12.93,1.42,0.14,0.23,-0.82,0.0,0.0,0.0,-9.65,12.69,1.8,0.12,0.37,-0.89,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,1500.0,0.0,3000.0,1500.0,0.0,0.0,0.0,-16.54,12.26,-0.79,-0.06,0.1,-0.97
6,0.0,0.0,0.0,-0.33999999999999986,-1.2899999999999991,-0.73,0.09,0.07,-0.020000000000000018,0.0,0.0,0.0,-16.54,12.26,-0.79,-0.06,0.1,-0.97,0.0,0.0,0.0,-15.09,12.91,0.71,0.05,0.23,-1.1,0.0,0.0,0.0,-12.6,12.93,1.42,0.14,0.23,-0.82,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-16.88,10.97,-1.52,0.03,0.17,-0.99
7,0.0,0.0,0.0,0.4399999999999977,-1.8900000000000006,-0.5399999999999999,-0.03,0.07999999999999999,-0.050000000000000044,0.0,0.0,0.0,-16.88,10.97,-1.52,0.03,0.17,-0.99,0.0,0.0,0.0,-16.54,12.26,-0.12,-0.06,0.1,-0.97,0.0,0.0,0.0,-15.09,12.91,0.71,0.05,0.23,-1.1,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-16.44,9.08,-2.06,-0.0,0.25,-1.04
8,0.0,0.0,0.0,1.120000000000001,-1.9900000000000002,-0.3800000000000001,0.06,-0.07999999999999999,-0.08000000000000007,0.0,0.0,0.0,-16.44,9.08,-2.06,-0.0,0.25,-1.04,0.0,0.0,0.0,-16.88,10.97,-0.85,0.03,0.17,-0.99,0.0,0.0,0.0,-16.54,12.26,-0.12,-0.06,0.1,-0.97,1500.0,0.0,3000.0,1500.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-15.32,7.09,-2.44,0.06,0.17,-1.12
9,0.0,0.0,0.0,1.42,-1.4500000000000002,-0.29000000000000004,0.03,0.16,-0.04999999999999982,0.0,0.0,0.0,-15.32,7.09,-2.44,0.06,0.17,-1.12,0.0,0.0,0.0,-16.44,9.08,-1.39,-0.0,0.25,-1.04,0.0,0.0,0.0,-16.88,10.97,-0.85,0.03,0.17,-0.99,1500.0,0.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,3000.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-13.9,5.64,-2.73,0.09,0.33,-1.17
